No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# https://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18800101-0-3-0-0/left,top,width,height/full/0/default.jpg
0	Donnerſtag	O	O	-	0	324	619	630	680
0	,	O	O	-	0	324	619	630	680
0	1	O	O	-	0	645	689	634	670
0	.	O	O	-	0	645	689	634	670
0	Januar	O	O	-	0	714	910	628	679
0	.	O	O	-	0	714	910	628	679
0		O	O	-	0	1435	2332	630	680
0	IIIIIIIEIIIIIIIIIIII	O	O	-	0	1435	2332	630	680
0	Geiĩte	O	O	-	0	3258	3389	635	676
0	3	O	O	-	0	3410	3460	640	678
0	.	O	O	-	0	3410	3460	640	678
0	angeboten	O	O	-	0	275	407	1724	1752
0	und	O	O	-	0	424	475	1724	1751
0	angenommen	O	O	-	0	492	652	1727	1752
0	ſein	O	O	-	0	653	742	1723	1752
0	.	O	O	-	0	653	742	1723	1752
0		O	O	-	0	277	333	1264	1294
0	Rue	I-LOC	O	-	0	277	333	1264	1294
0	du	I-LOC	O	-	0	360	391	1265	1294
0	Faubourg	O	O	-	0	409	543	1263	1296
0	St	O	O	-	0	571	618	1264	1293
0	.	O	O	-	0	571	618	1264	1293
0	Honors	O	O	-	0	634	736	1264	1296
0	aus	O	O	-	0	764	813	1267	1291
0	im	O	O	-	0	839	873	1263	1292
0	Vorhof	O	O	-	0	890	989	1262	1294
0	des	O	O	-	0	1016	1059	1263	1290
0	Elyſoe	O	O	-	0	1078	1163	1262	1296
0	ſtationiren	O	O	-	0	1172	1329	1237	1296
0	wurden	O	O	-	0	275	382	1691	1723
0	,	O	O	-	0	275	382	1691	1723
0	ſo	O	O	-	0	400	424	1691	1722
0	kann	O	O	-	0	441	503	1691	1718
0	die	O	O	-	0	520	557	1691	1718
0	Wahl	O	O	-	0	568	644	1691	1723
0	Magnin	B-PER	O	-	0	662	813	1691	1723
0	'	B-PER	O	-	0	662	813	1691	1723
0	s	B-PER	O	-	0	662	813	1691	1723
0	erſt	O	O	-	0	820	896	1692	1724
0	im	O	O	-	0	913	947	1692	1719
0	letzten	O	O	-	0	959	1038	1692	1724
0	Augenblick	O	O	-	0	1049	1192	1690	1724
0	getroffen	O	O	-	0	1208	1331	1689	1723
0	,	O	O	-	0	1208	1331	1689	1723
0	Lam	O	O	-	0	272	374	705	738
0	—	O	O	-	0	272	374	705	738
0	“	O	O	-	0	272	374	705	738
0	,	O	O	-	0	272	374	705	738
0	deſſen	O	O	-	0	389	465	705	738
0	Ende	O	O	-	0	483	552	706	735
0	vielleicht	O	O	-	0	570	683	703	737
0	noch	O	O	-	0	700	756	704	737
0	heute	O	O	-	0	773	842	704	736
0	nicht	O	O	-	0	858	921	702	734
0	abzuſehen	O	O	-	0	937	1065	702	737
0	wäre	O	O	-	0	1082	1155	703	735
0	,	O	O	-	0	1082	1155	703	735
0	wenn	O	O	-	0	1181	1234	708	731
0	nicht	O	O	-	0	1235	1329	702	734
0	Herr	O	O	-	0	274	339	738	769
0	Gambetta	O	O	-	0	356	488	738	769
0	als	O	O	-	0	506	548	740	767
0	deus	O	O	-	0	564	628	738	765
0	ex	O	O	-	0	645	678	744	764
0	machina	O	O	-	0	696	795	738	764
0	erſchienen	O	O	-	0	796	956	735	767
0	wäre	O	O	-	0	973	1045	735	769
0	,	O	O	-	0	973	1045	735	769
0	reſp	O	O	-	0	1071	1130	736	769
0	.	O	O	-	0	1071	1130	736	769
0	durch	O	O	-	0	1148	1218	736	768
0	perſön⸗	O	O	-	0	1229	1330	736	769
0	liche	O	O	-	0	276	332	769	804
0	Intervention	O	O	-	0	348	525	771	805
0	bei	O	O	-	0	544	581	771	798
0	dem	O	O	-	0	598	651	770	798
0	Praͤſidenten	O	O	-	0	667	824	769	804
0	Groͤpy	B-PER	O	-	0	836	922	768	803
0	einen	O	O	-	0	940	1007	769	798
0	Ausaleich	O	O	-	0	1016	1145	769	801
0	herbeigeführt	O	O	-	0	1158	1329	768	802
0	hütte	O	O	-	0	274	365	804	836
0	.	O	O	-	0	274	365	804	836
0		O	O	-	0	381	422	805	834
0	Es	O	O	-	0	381	422	805	834
0	ſcheint	O	O	-	0	445	528	805	836
0	bem	O	O	-	0	545	598	804	832
0	Kammerpräſidenten	O	O	-	0	615	877	801	835
0	plötzlich	O	O	-	0	894	996	802	836
0	ein	O	O	-	0	1014	1052	802	831
0	Argwohn	O	O	-	0	1064	1190	801	836
0	ober	O	O	-	0	1207	1249	801	830
0	eine	O	O	-	0	1251	1330	801	830
0	Befürchtung	O	O	-	0	274	440	836	871
0	gekommen	O	O	-	0	457	595	837	871
0	zu	O	O	-	0	610	623	843	871
0	ſein	O	O	-	0	624	711	836	869
0	,	O	O	-	0	624	711	836	869
0	als	O	O	-	0	729	772	837	863
0	ob	O	O	-	0	790	822	835	863
