No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
#	https://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18800101-0-3-0-0/left,top,width,height/full/0/default.jpg								
0	Kampf	O	O	-	0	154	212	400	419
0	,	O	O	-	0	154	212	400	419
0	deſſen	O	O	-	0	221	264	400	419
0	Ende	O	O	-	0	274	313	401	417
0	vielleicht	O	O	-	0	324	388	399	418
0	noch	O	O	-	0	397	429	400	418
0	heute	O	O	-	0	439	478	400	418
0	nicht	O	O	-	0	487	523	399	417
0	abzuſehen	O	O	-	0	532	605	399	418
0	wäre	O	O	-	0	615	656	399	417
0	,	O	O	-	0	615	656	399	417
0	wenn	O	O	-	0	671	701	402	415
0	nicht	O	O	-	0	702	755	399	417
0	Herr	O	O	-	0	155	192	419	437
0	Gambetta	B-PER	O	Q295090	0	202	277	419	437
0	als	O	O	-	0	287	311	420	436
0	deus	O	O	-	0	320	357	419	434
0	ex	O	O	-	0	366	385	422	434
0	machina	O	O	-	0	395	451	419	434
0	erſchienen	O	O	-	0	452	543	417	436
0	wäre	O	O	-	0	553	594	417	437
0	,	O	O	-	0	553	594	417	437
0	reſp	O	O	-	0	608	642	418	437
0	.	O	O	-	0	608	642	418	437
0	durch	O	O	-	0	652	692	418	436
0	perſön⸗	O	O	-	0	698	756	418	437
0	liche	O	O	-	0	156	188	437	457
0	Intervention	O	O	-	0	197	298	438	457
0	bei	O	O	-	0	309	330	438	453
0	dem	O	O	-	0	339	370	437	453
0	Präſidenten	O	O	-	0	379	468	437	457
0	Grévy	B-PER	O	Q296083	0	475	524	436	456
0	einen	O	O	-	0	534	572	437	453
0	Ausgleich	O	O	-	0	577	650	437	455
0	herbeigeführt	O	O	-	0	658	755	436	455
0	hätte	O	O	-	0	155	207	457	475
0	.	O	O	-	0	155	207	457	475
0		O	O	-	0	216	239	457	474
0	Es	O	O	-	0	216	239	457	474
0	ſcheint	O	O	-	0	252	300	457	475
0	dem	O	O	-	0	309	339	457	472
0	Kammerpräſidenten	O	O	-	0	349	498	455	474
0	plötzlich	O	O	-	0	508	566	455	475
0	ein	O	O	-	0	576	598	455	472
0	Argwohn	O	O	-	0	604	676	455	475
0	oder	O	O	-	0	686	710	455	471
0	eine	O	O	-	0	711	756	455	471
0	Befürchtung	O	O	-	0	155	250	475	495
0	gekommen	O	O	-	0	259	338	475	495
0	zu	O	O	-	0	346	354	479	495
0	ſein	O	O	-	0	354	404	475	494
0	,	O	O	-	0	354	404	475	494
0	als	O	O	-	0	414	438	475	490
0	ob	O	O	-	0	449	467	474	490
0	hinter	O	O	-	0	476	522	474	493
0	dem	O	O	-	0	531	561	474	491
0	Bemühen	O	O	-	0	570	648	474	492
0	,	O	O	-	0	570	648	474	492
0	Waddington	B-PER	O	Q548696	0	660	756	474	493
0	unb	O	O	-	0	155	185	494	512
0	Léon	B-PER	O	Q3271322	0	200	249	494	512
0	Say	I-PER	O	Q3271322	0	254	288	494	512
0	zu	O	O	-	0	308	324	498	512
0	halten	O	O	-	0	343	398	494	512
0	,	O	O	-	0	343	398	494	512
0	dagegen	O	O	-	0	410	477	492	512
0	Lepère	B-PER	O	Q670573	0	492	544	493	512
0	zu	O	O	-	0	563	581	497	512
0	entfernen	O	O	-	0	600	678	492	511
0	,	O	O	-	0	600	678	492	511
0	die	O	O	-	0	693	718	492	509
0	Ab	O	O	-	0	724	756	492	509
0	ſicht	O	O	-	0	156	187	513	531
0	ſtecke	O	O	-	0	206	250	513	531
0	,	O	O	-	0	206	250	513	531
0	das	O	O	-	0	268	296	513	529
0	neue	O	O	-	0	316	349	516	529
0	Miniſterium	O	O	-	0	367	463	511	529
0	von	O	O	-	0	482	509	515	528
0	dem	O	O	-	0	529	559	512	528
0	bisher	O	O	-	0	566	632	511	530
0	dominirenden	O	O	-	0	653	756	511	528
0	Einfluß	O	O	-	0	156	216	531	550
0	des	O	O	-	0	240	266	532	548
0	Palais	B-LOC	O	Q936633	0	293	346	530	550
0	Bourbon	I-LOC	O	Q936633	0	368	437	530	546
0	frei	O	O	-	0	462	488	530	549
0	zu	O	O	-	0	511	528	535	550
0	machen	O	O	-	0	552	610	530	549
0	.	O	O	-	0	552	610	530	549
0		O	O	-	0	644	682	529	546
0	Sein	O	O	-	0	644	682	529	546
0	Beſuch	O	O	-	0	706	756	530	548
0	bei	O	O	-	0	159	189	550	567
0	Grévy	B-PER	O	Q296083	0	195	246	551	569
0	am	O	O	-	0	262	285	554	566
0	Sonntag	O	O	-	0	300	368	550	569
0	Morgen	O	O	-	0	380	442	549	569
0	um	O	O	-	0	457	482	553	565
0	10	O	O	-	0	496	514	550	565
0	Uhr	O	O	-	0	525	546	549	568
0	ſoll	O	O	-	0	546	593	549	569
0	keineswegs	O	O	-	0	607	691	548	567
0	erbeten	O	O	-	0	703	756	549	565
0	ſondern	O	O	-	0	163	216	570	586
0	—	O	O	-	0	225	243	577	580
0	zum	O	O	-	0	254	285	573	587
0	erſten	O	O	-	0	295	335	569	587
0	Mal	O	O	-	0	345	386	567	587
0	!	O	O	-	0	345	386	567	587
0	—	O	O	-	0	396	414	576	578
0	freiwillig	O	O	-	0	418	493	567	587
0	und	O	O	-	0	508	537	568	584
0	ziemlich	O	O	-	0	542	605	567	587
0	unerwartet	O	O	-	0	615	697	568	583
0	erfolgt	O	O	-	0	707	756	567	586
0	ſein	O	O	-	0	156	190	586	606
0	.	O	O	-	0	156	190	586	606
0		O	O	-	0	209	237	588	604
0	Was	O	O	-	0	209	237	588	604
0	zwiſchen	O	O	-	0	238	317	587	606
0	den	O	O	-	0	327	353	587	603
0	beiden	O	O	-	0	362	408	587	603
0	Präſidenten	O	O	-	0	418	508	586	606
0	verhandelt	O	O	-	0	523	602	587	606
0	worden	O	O	-	0	611	671	586	604
0	,	O	O	-	0	611	671	586	604
0	weiß	O	O	-	0	687	723	586	604
0	na⸗	O	O	-	0	732	756	590	602
0	türlich	O	O	-	0	157	205	606	624
0	Niemand	O	O	-	0	217	289	607	624
0	,	O	O	-	0	217	289	607	624
0	wenn	O	O	-	0	300	339	609	623
0	nicht	O	O	-	0	349	383	605	624
0	Herr	O	O	-	0	393	429	606	624
0	Gambetta	B-PER	O	Q295090	0	434	509	606	622
0	ſelbſt	O	O	-	0	519	557	604	624
0	es	O	O	-	0	566	582	607	621
0	hinterher	O	O	-	0	588	656	605	623
0	beim	O	O	-	0	666	700	605	621
0	Früh	O	O	-	0	710	756	604	624
0	—	O	O	-	0	710	756	604	624
0	ftück	O	O	-	0	157	189	625	643
0	ſeinem	O	O	-	0	199	248	624	643
0	Intimus	O	O	-	0	257	330	625	643
0	,	O	O	-	0	257	330	625	643
0	dem	O	O	-	0	339	370	624	640
0	Schauſpieler	O	O	-	0	380	476	624	643
0	Coquelin	B-PER	O	Q142310	0	491	559	624	642
0	dem	O	O	-	0	575	605	624	640
0	„	O	O	-	0	620	714	623	642
0	Jüngeren	O	O	-	0	620	714	623	642
0	“	O	O	-	0	620	714	623	642
0	von	O	O	-	0	728	756	626	639
0	der	O	O	-	0	157	181	643	660
0	Comédie	B-ORG	O	Q61460498	0	197	262	643	661
0	françaiſe	I-ORG	O	Q61460498	0	277	345	642	661
0	anvertraut	O	O	-	0	359	440	644	659
0	hat	O	O	-	0	455	484	644	661
0	.	O	O	-	0	455	484	644	661
0		O	O	-	0	503	560	642	659
0	Abends	O	O	-	0	503	560	642	659
0	im	O	O	-	0	576	595	642	658
0	Theater	O	O	-	0	604	665	642	661
0	ſpielte	O	O	-	0	665	724	642	661
0	der	O	O	-	0	733	756	642	658
0	Allgewaltige	O	O	-	0	157	252	662	682
0	freilich	O	O	-	0	262	312	662	681
0	wieder	O	O	-	0	326	375	661	678
0	den	O	O	-	0	389	415	662	678
0	Unbefangenen	O	O	-	0	425	530	662	681
0	und	O	O	-	0	544	572	661	677
0	Ununterrichteten	O	O	-	0	582	711	661	679
0	,	O	O	-	0	582	711	661	679
0	denn	O	O	-	0	720	755	661	677
0	er	O	O	-	0	158	172	686	697
0	leugnete	O	O	-	0	182	242	682	700
0	ſogar	O	O	-	0	256	296	681	699
0	ſeinen	O	O	-	0	312	356	680	699
0	Beſuch	O	O	-	0	366	416	681	699
0	vom	O	O	-	0	433	465	683	696
0	Vormittag	O	O	-	0	481	566	679	699
0	,	O	O	-	0	481	566	679	699
0	obwohl	O	O	-	0	583	638	681	698
