TEXT	url_id	left	right	top	bottom
#	https://content.staatsbibliothek-berlin.de/dc/PPN757123368-00000008/left,top,width,height/full/0/default.jpg					
6. O ſit ſich nun geſumbler gehan / iu	0	141	1087	134	230
Fuß biß in diẽ tauſent Mann / die hatten	0	236	1069	225	286
Toͤwens muhte / ſie kament hin gehn But⸗	0	200	1069	280	341
tisholtz / da fandens mengen Engler ſtoltz /	0	237	1071	335	397
den ſie legten ins Blutte. Es war zu mahl	0	238	1068	388	452
ein harter Streit / das kein theil woite wei⸗	0	172	1068	448	507
ch. n/ ſie ſtunden veſt zu beider ſeit / letſtlich	0	237	1069	501	562
fleng an zaweichen / der Englich kauff vnd	0	238	1073	558	615
nahm die flucht / alſo handt die Eydgnoſ⸗	0	240	1070	611	673
ſen/ ihnen ſelber gemachet lufft.	0	239	853	667	730
So zu mal haͤndt die from̃en Landleut /	0	297	1074	721	779
trobert ein ſchoͤne beuih / an geſchmeidt	0	240	1075	779	832
harniſch vnd Roſſen / zwey hundert Man	0	242	1075	831	890
hands erſchlagen / die warhrit thun ich	0	242	1077	888	947
luch ſagen / von den freirn Eydgnoſſen /	0	242	1075	940	998
deß haben ſie gedancket Gott / daß er jhnen	0	246	1076	992	1052
bey geſtanden / vnnd ſit erloͤſt auß Feindes	0	243	1078	1049	1108
noch / die kon aub ferren Landen / ſic zu ver⸗	0	247	1077	1103	1163
derben alle gar / doch wardis diß orths ver⸗	0	214	1077	1161	1217
irieb:n/diẽ Engellandiſche ſcha⸗	0	249	907	1214	1271
— — ⏑V 2	0	306	1098	1255	1326
Landtman von Entlibuch / hat ein Edlen	0	251	1082	1323	1388
auß zogen / ſein Helm vnd Kuͤriß legt eran	0	252	1085	1378	1438
den ſchilt vnd ſper zu handen gnon / hiemit	0	254	1087	1434	1493
ein hengſt beſtigen / daß hatt erſehen der	0	256	1085	1489	1551
Cdaman /von Elorbun ab du dmaurge	0	257	1086	1542	1648
tt	0	1045	1125	1609	1655
